area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,area_type_encoded
Plot  Area,Ready To Move,Yelahanka,3 Bedroom,Edreelm,1550,3.0,1.0,120.0,3.0,1550.0,7741.935483870968,2
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Unknown,1220,3.0,3.0,56.0,3.0,1220.0,4590.163934426229,3
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Jants V,1900,3.0,3.0,160.0,3.0,1900.0,8421.052631578947,3
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,Unknown,1360,3.0,3.0,55.0,3.0,1360.0,4044.1176470588234,3
Built-up  Area,Ready To Move,Vyalikaval,2 BHK,Unknown,1100,2.0,1.0,75.0,2.0,1100.0,6818.181818181818,0
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,Vaarech,1455,3.0,2.0,73.31,3.0,1455.0,5038.487972508591,3
Built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1035,2.0,1.0,40.5,2.0,1035.0,3913.0434782608695,0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Unknown,1152,2.0,2.0,69.0,2.0,1152.0,5989.583333333333,3
Super built-up  Area,Ready To Move,Bellandur,2 BHK,OriewLa,1299,2.0,2.0,82.0,2.0,1299.0,6312.548113933795,3
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,75.0,3.0,1157.0,6482.281763180639,3
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Sovar S,1050,2.0,2.0,52.5,2.0,1050.0,5000.0,3
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Unknown,1050,2.0,2.0,40.0,2.0,1050.0,3809.5238095238096,3
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Unknown,1246,2.0,1.0,67.4,2.0,1246.0,5409.309791332264,3
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,Unknown,1929,3.0,2.0,115.0,3.0,1929.0,5961.638154484189,0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Unknown,1285,2.0,1.0,60.0,2.0,1285.0,4669.260700389105,3
Plot  Area,Ready To Move,Margondanahalli,3 Bedroom,Unknown,1200,2.0,0.0,65.0,3.0,1200.0,5416.666666666667,2
Built-up  Area,Ready To Move,"Banaswadi, ",4 BHK,Unknown,3161,4.0,3.0,214.0,4.0,3161.0,6770.00949066751,0
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,1850,3.0,2.0,170.0,3.0,1850.0,9189.18918918919,0
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025,2.0,0.0,37.0,3.0,1025.0,3609.756097560976,0
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,SaeneSe,1124,3.0,2.0,80.0,2.0,1124.0,7117.437722419929,0
Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012,2.0,1.0,54.59,2.0,1012.0,5394.268774703557,3
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,i1rtsCo,871,2.0,2.0,55.0,2.0,871.0,6314.580941446613,3
Built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,Mae 2ow,1020,2.0,2.0,40.0,2.0,1020.0,3921.5686274509803,0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3.0,3.0,73.5,3.0,1550.0,4741.935483870968,3
Plot  Area,Ready To Move,Anand Nagar,3 Bedroom,Unknown,3515,3.0,1.0,420.0,3.0,3515.0,11948.790896159317,2
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,80.0,3.0,1410.0,5673.758865248227,3
Plot  Area,18-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,3500,5.0,3.0,150.0,4.0,3500.0,4285.714285714285,2
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1118,2.0,1.0,75.0,2.0,1118.0,6708.4078711985685,3
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098,2.0,1.0,68.0,2.0,1098.0,6193.078324225865,3
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,Unknown,1130,2.0,1.0,45.2,2.0,1130.0,4000.0,3
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Trurea ,1145,2.0,2.0,75.0,2.0,1145.0,6550.218340611354,3
Plot  Area,Ready To Move,Kadugodi,3 Bedroom,Unknown,950,3.0,1.0,80.0,3.0,950.0,8421.052631578947,2
Super built-up  Area,Ready To Move,Balaji Gardens Layout,2 BHK,GSnts A,1051,2.0,1.0,33.0,2.0,1051.0,3139.8667935299713,3
Plot  Area,Ready To Move,Thavarekere,7 Bedroom,Unknown,600,7.0,2.0,108.0,7.0,600.0,18000.0,2
Super built-up  Area,18-Apr,Marathahalli,2 BHK,Unknown,1102,2.0,2.0,53.67,2.0,1102.0,4870.235934664247,3
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1478,2.0,2.0,125.0,2.0,1478.0,8457.374830852503,3
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,1.0,645.0,2550.3875968992247,3
Carpet  Area,18-Dec,Hebbal,2 BHK,Arcia S,823,2.0,1.0,50.63,2.0,823.0,6151.883353584447,1
Super built-up  Area,21-Dec,Abbigere,2 BHK,Unknown,880,2.0,1.0,35.0,2.0,880.0,3977.2727272727275,3
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,100.0,3.0,1991.0,5022.601707684581,3
Built-up  Area,Ready To Move,TC Palaya,3 BHK,Unknown,1100,3.0,1.0,50.0,3.0,1100.0,4545.454545454545,0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,115.0,3.0,1745.0,6590.25787965616,3
Built-up  Area,17-Sep,HAL 2nd Stage,2 BHK,Unknown,1226,3.0,1.0,135.0,2.0,1226.0,11011.419249592169,0
Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,Unknown,1100,2.0,1.0,70.0,2.0,1100.0,6363.636363636364,3
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,Unknown,1200,4.0,3.0,195.0,4.0,1200.0,16250.0,2
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Sorta S,1450,2.0,1.0,58.0,2.0,1450.0,4000.0,3
Super built-up  Area,Ready To Move,Singasandra,4 BHK,Unknown,3366,4.0,2.0,120.0,4.0,3366.0,3565.0623885918003,3
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Unknown,1150,2.0,1.0,54.0,2.0,1150.0,4695.652173913043,0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1843,3.0,2.0,95.84,3.0,1843.0,5200.217037438958,3
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,Unknown,2200,4.0,2.0,195.0,4.0,2200.0,8863.636363636364,2
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,Unknown,1090,3.0,2.0,44.0,2.0,1090.0,4036.697247706422,0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Binorn ,1132,2.0,2.0,42.0,2.0,1132.0,3710.2473498233217,3
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1375,2.0,2.0,80.0,2.0,1375.0,5818.181818181818,3
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Bhmesy ,760,1.0,2.0,50.3,1.0,760.0,6618.421052631579,3
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Unknown,1180,2.0,2.0,65.0,2.0,1180.0,5508.474576271186,3
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,45.0,2.0,918.0,4901.9607843137255,3
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,Unknown,1200,1.0,0.0,53.0,2.0,1200.0,4416.666666666667,0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2.0,1.0,61.0,2.0,1372.0,4446.064139941691,3
Plot  Area,Ready To Move,1st Block HRBR Layout,7 Bedroom,Unknown,2400,7.0,3.0,355.0,7.0,2400.0,14791.666666666666,2
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1728,3.0,2.0,95.0,3.0,1728.0,5497.685185185185,3
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,3.0,1.0,275.0,3.0,2215.0,12415.349887133183,3
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Crentt ,1200,2.0,2.0,80.0,2.0,1200.0,6666.666666666667,3
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,Vador S,1280,2.0,2.0,56.0,2.0,1280.0,4375.0,3
Plot  Area,Ready To Move,Hulimavu,4 Bedroom,Unknown,800,4.0,2.0,110.0,4.0,800.0,13750.0,2
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,ViisePa,1455,2.0,2.0,56.0,3.0,1455.0,3848.7972508591065,3
Super built-up  Area,20-Aug, Rachenahalli,1 RK,AsNowre,440,1.0,0.0,28.0,1.0,440.0,6363.636363636364,3
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,Nathira,1500,3.0,2.0,97.0,3.0,1500.0,6466.666666666667,2
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1800,3.0,2.0,110.0,3.0,1800.0,6111.111111111111,3
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,Unknown,1525,3.0,2.0,96.0,3.0,1525.0,6295.081967213115,3
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Unknown,1204,2.0,3.0,38.5,2.0,1204.0,3197.6744186046512,3
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,53.55,2.0,1225.0,4371.428571428572,3
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Esave E,1650,3.0,2.0,122.0,3.0,1650.0,7393.939393939394,3
Built-up  Area,Ready To Move,Electronic City,3 BHK,Itelaa ,880,2.0,1.0,18.0,3.0,880.0,2045.4545454545455,0
Built-up  Area,Ready To Move,Bikasipura,4 Bedroom,Unknown,4200,4.0,2.0,255.0,4.0,4200.0,6071.428571428572,0
Plot  Area,Ready To Move,Tippenahalli,2 Bedroom,Unknown,1200,2.0,0.0,55.0,2.0,1200.0,4583.333333333333,2
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Unknown,1152,4.0,1.0,230.0,4.0,1152.0,19965.277777777777,2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2.0,1.0,42.0,2.0,1005.0,4179.104477611941,3
Super built-up  Area,20-Dec,Whitefield,3 BHK,Oreldhi,1562,3.0,2.0,103.0,3.0,1562.0,6594.110115236876,3
Built-up  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,5000,5.0,2.0,395.0,4.0,5000.0,7900.0,0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Unknown,1200,2.0,3.0,42.0,2.0,1200.0,3500.0,3
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Unknown,1555,3.0,2.0,82.5,3.0,1555.0,5305.4662379421225,3
Plot  Area,Ready To Move,KR Puram,2 Bedroom,Unknown,1550,2.0,1.0,71.0,2.0,1550.0,4580.645161290323,2
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BainePr,1190,2.0,2.0,67.0,2.0,1190.0,5630.252100840336,3
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,KsonsCa,1070,2.0,2.0,50.0,2.0,1070.0,4672.897196261682,0
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,ShshaSa,1020,2.0,1.0,42.48,2.0,1020.0,4164.705882352941,3
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Unknown,1610,3.0,1.0,115.0,3.0,1610.0,7142.857142857143,3
Super built-up  Area,Ready To Move,Prestige Sunrise,1 BHK,Unknown,700,1.0,1.0,41.0,1.0,700.0,5857.142857142857,3
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1300,2.0,1.0,49.0,3.0,1300.0,3769.230769230769,3
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2.0,1.0,123.0,2.0,1420.0,8661.971830985916,3
Plot  Area,Ready To Move,Vidyaranyapura,9 Bedroom,Unknown,1200,9.0,2.0,100.0,9.0,1200.0,8333.333333333334,2
Carpet  Area,18-Dec,Hebbal,3 BHK,Arcia S,1069,3.0,2.0,65.4,3.0,1069.0,6117.867165575305,1
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1900,3.0,3.0,123.0,3.0,1900.0,6473.684210526316,3
Super built-up  Area,18-May,Old Airport Road,2 BHK,Jaades ,1655,2.0,1.0,97.65,2.0,1655.0,5900.302114803625,3
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155,2.0,2.0,40.42,2.0,1155.0,3499.5670995670994,3
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Esatea ,1300,2.0,2.0,70.0,3.0,1300.0,5384.615384615385,0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Amhidte,1100,2.0,2.0,45.0,2.0,1100.0,4090.909090909091,3
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Arensh ,1030,2.0,2.0,42.0,2.0,1030.0,4077.669902912621,3
Built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Prsun S,1700,3.0,2.0,126.0,3.0,1700.0,7411.764705882353,0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1760,3.0,2.0,139.0,3.0,1760.0,7897.727272727273,3
Built-up  Area,Ready To Move,Kadugodi,9 Bedroom,Unknown,6200,9.0,0.0,200.0,9.0,6200.0,3225.8064516129034,0
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,Unknown,1400,2.0,1.0,67.0,2.0,1400.0,4785.714285714285,0
Super built-up  Area,Ready To Move,Srigandada Kaval,2 BHK,Unknown,1200,2.0,0.0,53.0,2.0,1200.0,4416.666666666667,3
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Haaceal,912,2.0,1.0,55.0,2.0,912.0,6030.701754385965,0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1102,2.0,1.0,48.0,2.0,1102.0,4355.716878402904,3
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,3.0,1.0,55.0,3.0,1535.0,3583.061889250814,3
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0,2.0,1243.0,3700.7240547063557,3
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,63.2,2.0,918.0,6884.531590413943,3
Super built-up  Area,Ready To Move,Begur Road,3 BHK,MJilayl,1500,2.0,3.0,70.0,3.0,1500.0,4666.666666666667,3
Plot  Area,Ready To Move,Mathikere Extension,3 Bedroom,Unknown,3000,3.0,0.0,250.0,3.0,3000.0,8333.333333333334,2
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1476,3.0,0.0,89.0,3.0,1476.0,6029.810298102981,3
Super built-up  Area,18-Apr,Mysore Road,2 BHK,Unknown,1200,2.0,3.0,65.0,2.0,1200.0,5416.666666666667,3
Super built-up  Area,21-Jun,Vijayanagar,1 BHK,Saityat,606,1.0,0.0,34.78,1.0,606.0,5739.273927392739,3
Super built-up  Area,Ready To Move,Viswajit Layout,2 BHK,Unknown,1100,2.0,3.0,61.0,2.0,1100.0,5545.454545454545,3
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,Unknown,1295,2.0,1.0,59.5,3.0,1295.0,4594.594594594595,3
Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,AdingSV,527,1.0,0.0,26.0,1.0,527.0,4933.586337760911,0
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,Drerspe,1300,2.0,2.0,80.0,2.0,1300.0,6153.846153846154,3
Plot  Area,Ready To Move,Adityanagar,1 Bedroom,Unknown,1260,1.0,0.0,41.0,1.0,1260.0,3253.968253968254,2
Built-up  Area,Ready To Move,Koramangala,2 BHK,Vaanda ,1140,2.0,1.0,75.2,2.0,1140.0,6596.491228070176,0
Plot  Area,Ready To Move,BDS Layout,1 Bedroom,Unknown,1500,1.0,0.0,37.5,1.0,1500.0,2500.0,2
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2321,4.0,1.0,128.0,3.0,2321.0,5514.864282636794,3
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Unknown,1390,2.0,2.0,62.0,2.0,1390.0,4460.431654676259,3
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Asncywo,1725,3.0,3.0,90.0,3.0,1725.0,5217.391304347826,3
Super built-up  Area,18-May,Hebbal,4 BHK,SNontle,3067,4.0,1.0,310.0,4.0,3067.0,10107.597000326052,3
Super built-up  Area,18-Mar,Hennur Road,3 BHK,Koagati,1186,2.0,1.0,63.0,3.0,1186.0,5311.973018549747,3
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,PrityFa,1230,2.0,1.0,85.0,2.0,1230.0,6910.569105691057,3
Built-up  Area,Ready To Move, Mysore Highway,1 BHK,Unknown,600,1.0,1.0,17.0,1.0,600.0,2833.3333333333335,0
Super built-up  Area,18-Dec,Yeshwanthpur,3 BHK,Unknown,1313,3.0,1.0,96.0,3.0,1313.0,7311.500380807312,3
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Unknown,900,2.0,0.0,55.0,2.0,900.0,6111.111111111111,2
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Unknown,1250,2.0,2.0,66.25,2.0,1250.0,5300.0,3
Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,660,1.0,1.0,54.0,1.0,660.0,8181.818181818182,3
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,Tinori ,1036,2.0,2.0,105.0,2.0,1036.0,10135.135135135135,3
Built-up  Area,Ready To Move,Koramangala,4 BHK,Unknown,2700,4.0,3.0,450.0,4.0,2700.0,16666.666666666668,0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Teilsaf,1100,2.0,1.0,70.0,2.0,1100.0,6363.636363636364,3
Plot  Area,Ready To Move,Singasandra,4 Bedroom,Unknown,525,5.0,2.0,56.0,4.0,525.0,10666.666666666666,2
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GaicaVe,1015,2.0,1.0,56.0,2.0,1015.0,5517.241379310345,0
Plot  Area,Ready To Move,Gottigere,1 Bedroom,Unknown,812,1.0,0.0,26.0,1.0,812.0,3201.9704433497536,2
Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,Unknown,1360,2.0,2.0,65.0,3.0,1360.0,4779.411764705882,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Unknown,1200,2.0,1.0,35.0,2.0,1200.0,2916.6666666666665,3
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1165,2.0,2.0,75.0,2.0,1165.0,6437.768240343347,3
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,NDclenn,1274,2.0,2.0,70.0,2.0,1274.0,5494.505494505494,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151,2.0,2.0,39.02,2.0,1151.0,3390.095569070374,3
Plot  Area,Ready To Move,Vidyaranyapura,6 Bedroom,Unknown,1060,6.0,3.0,110.0,6.0,1060.0,10377.358490566037,2
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,ShdhiSa,1626,2.0,2.0,120.0,3.0,1626.0,7380.073800738008,3
Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,Unknown,1035,2.0,2.0,35.77,2.0,1035.0,3456.038647342996,3
Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,Unknown,1272,4.0,0.0,75.0,3.0,1272.0,5896.226415094339,2
Built-up  Area,Ready To Move,Jeevan bima nagar,2 BHK,Unknown,965,2.0,1.0,45.0,2.0,965.0,4663.21243523316,0
Plot  Area,Ready To Move,Esther Enclave Layout,5 Bedroom,Unknown,1600,5.0,2.0,140.0,5.0,1600.0,8750.0,2
Super built-up  Area,Ready To Move,Kothannur,2 BHK,Unknown,1070,2.0,1.0,42.79,2.0,1070.0,3999.0654205607475,3
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Spensas,1570,2.0,2.0,65.0,3.0,1570.0,4140.127388535032,0
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,117Sq. Yards,2.0,2.0,38.0,2.0,,,0
Super built-up  Area,Ready To Move,Keerthi Layout,2 BHK,NianaKe,780,2.0,2.0,25.0,2.0,780.0,3205.128205128205,3
Super built-up  Area,Ready To Move,Ganga Nagar Extension,3 BHK,Unknown,1000,2.0,1.0,65.0,3.0,1000.0,6500.0,3
Built-up  Area,Ready To Move,Tindlu,7 Bedroom,Unknown,7500,7.0,2.0,400.0,7.0,7500.0,5333.333333333333,0
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,Unknown,1700,2.0,3.0,100.0,3.0,1700.0,5882.35294117647,0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,RBersll,1850,3.0,2.0,110.0,3.0,1850.0,5945.945945945946,3
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,DSdorSp,904,2.0,1.0,30.0,2.0,904.0,3318.5840707964603,0
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,ALtonea,1121,2.0,1.0,43.72,2.0,1121.0,3900.0892060660126,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1385,2.0,2.0,58.17,3.0,1385.0,4200.0,3
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Rauil T,1270,2.0,1.0,69.85,2.0,1270.0,5499.999999999999,3
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,3.0,56.0,3.0,1450.0,3862.0689655172414,3
Plot  Area,Ready To Move,Huttanahalli,3 Bedroom,Unknown,2400,4.0,2.0,325.0,3.0,2400.0,13541.666666666666,2
Super built-up  Area,Ready To Move,Mahadevpura,1 BHK,Unknown,730,1.0,1.0,35.0,1.0,730.0,4794.520547945205,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580,3.0,3.0,53.56,3.0,1580.0,3389.8734177215188,3
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Teire G,1111,2.0,1.0,50.0,2.0,1111.0,4500.450045004501,3
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Unknown,1125,2.0,1.0,88.0,4.0,1125.0,7822.222222222223,2
Super built-up  Area,Ready To Move,Varthur,2 BHK,Maine J,977,2.0,2.0,36.0,2.0,977.0,3684.74923234391,3
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,Unknown,674,1.0,1.0,19.9,2.0,674.0,2952.522255192878,3
Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,Unknown,600,3.0,1.0,83.0,3.0,600.0,13833.333333333334,2
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,2540,4.0,1.0,115.0,4.0,2540.0,4527.55905511811,2
Super built-up  Area,17-Dec,Jakkur,2 BHK,BrdgeNo,1290,2.0,1.0,100.0,2.0,1290.0,7751.937984496124,3
Plot  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,Unknown,600,3.0,1.0,98.0,3.0,600.0,16333.333333333334,2
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,2.0,1.0,32.54,2.0,795.0,4093.0817610062895,3
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,700,1.0,1.0,35.0,2.0,700.0,5000.0,3
Built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1463,1.0,1.0,142.0,2.0,1463.0,9706.083390293916,0
Built-up  Area,Ready To Move,Vijayanagar,3 Bedroom,Unknown,1000,3.0,0.0,140.0,3.0,1000.0,14000.0,0
Super built-up  Area,Ready To Move,Reliable Woods Layout,3 BHK,Unknown,1306,2.0,2.0,58.0,3.0,1306.0,4441.04134762634,3
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,Unknown,2401,3.0,2.0,185.0,3.0,2401.0,7705.12286547272,3
Plot  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1670,3.0,0.0,135.0,4.0,1670.0,8083.832335329342,2
Built-up  Area,Ready To Move,Jayanagar,3 BHK,Rathira,1875,2.0,3.0,235.0,3.0,1875.0,12533.333333333334,0
Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200,3.0,1.0,90.0,3.0,1200.0,7500.0,2
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,Unknown,1804,3.0,2.0,121.0,3.0,1804.0,6707.317073170731,3
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2065,4.0,1.0,210.0,3.0,2065.0,10169.49152542373,3
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Deiveer,1225,3.0,1.0,40.0,3.0,1225.0,3265.3061224489797,3
Super built-up  Area,18-Nov,Thanisandra,2 BHK,Bhe 2ko,934 - 1437,2.0,0.0,58.68,2.0,1185.5,4949.810206663855,3
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,900,2.0,2.0,56.0,2.0,900.0,6222.222222222223,3
Super built-up  Area,19-Dec,Binny Pete,2 BHK,She 2rk,1350,2.0,1.0,91.0,2.0,1350.0,6740.740740740741,3
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700,1.0,0.0,36.0,1.0,700.0,5142.857142857143,3
Super built-up  Area,18-Jun,Mysore Road,2 BHK,Gopia O,980 - 1030,2.0,0.0,35.175,2.0,1005.0,3499.9999999999995,3
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,Unknown,1160,2.0,1.0,46.39,2.0,1160.0,3999.137931034483,3
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1680,3.0,2.0,99.27,3.0,1680.0,5908.928571428572,3
Carpet  Area,Ready To Move,LB Shastri Nagar,2 BHK,CharkR ,1043,2.0,2.0,55.0,2.0,1043.0,5273.250239693192,1
Plot  Area,Ready To Move,Hoskote,4 Bedroom,Unknown,1200,4.0,1.0,120.0,4.0,1200.0,10000.0,2
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Diaveic,1040,2.0,2.0,46.0,2.0,1040.0,4423.076923076923,3
Super built-up  Area,Ready To Move,Tindlu,3 BHK,Shmolti,1357,2.0,2.0,65.0,3.0,1357.0,4789.977892409727,3
Plot  Area,Ready To Move,Nayandanahalli,7 Bedroom,Unknown,1600,7.0,1.0,104.0,7.0,1600.0,6500.0,2
Super built-up  Area,18-Aug,Vibhutipura Extension,2 BHK,Unknown,1225,2.0,2.0,47.0,2.0,1225.0,3836.734693877551,3
Plot  Area,Ready To Move,Sunkadakatte,9 Bedroom,Unknown,1500,6.0,1.0,80.0,9.0,1500.0,5333.333333333333,2
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,Unknown,1130,2.0,2.0,40.0,2.0,1130.0,3539.8230088495575,3
Built-up  Area,Ready To Move,Basavangudi,4 Bedroom,Unknown,2500,4.0,1.0,150.0,4.0,2500.0,6000.0,0
Carpet  Area,Ready To Move,Sultan Palaya,3 BHK,Unknown,1700,3.0,3.0,120.0,3.0,1700.0,7058.823529411765,1
